ARTISTIC_ENTITY,GENDER,NATIONALITY,OBJECT_TITLE,OBJECT_DATE,PRIMARY_MEDIUM,ACCESSION_YEAR,OBJECT_TYPE
Raphael Soyer,Male,American,Girl in White Blouse,1932-01-01T00:00:00Z,Oil,1933-01-01T00:00:00Z,Painting
Raphael Soyer,Male,American,Sleeping Girl,1947-01-01T00:00:00Z,Oil,1948-01-01T00:00:00Z,Painting
Raphael Soyer,Male,American,Portrait of Mina,1932-01-01T00:00:00Z,Oil,1954-01-01T00:00:00Z,Painting
Raphael Soyer,Male,American,Hugo Kastor (1887-1956),1957-01-01T00:00:00Z,Oil,1957-01-01T00:00:00Z,Painting
Raphael Soyer,Male,American,Two Girls,1931-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Raphael Soyer,Male,American,Nocturne,1935-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Raphael Soyer,Male,American,The Artist's Parents,1932-01-01T00:00:00Z,Oil,1979-01-01T00:00:00Z,Painting
Raphael Soyer,Male,American,José de Creeft (1884-1982),1980-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Raphael Soyer,Male,American,Dora and Sol Wilson,1974-01-01T00:00:00Z,Oil,1985-01-01T00:00:00Z,Painting
Raphael Soyer,Male,American,Self-Portrait,1930-01-01T00:00:00Z,Oil,1996-01-01T00:00:00Z,Painting
Rashid Rana,Male,Pakistani,Untitled (2,1992-01-01T00:00:00Z,Graphite,2013-01-01T00:00:00Z,Painting
Raymond Breinin,Male,American,The Night,1942-01-01T00:00:00Z,Gum,1942-01-01T00:00:00Z,Painting
Raymond Mason,Male,British,Carrefour de l'Od√©on,1958-01-01T00:00:00Z,Bronze,2002-01-01T00:00:00Z,Sculpture
Raymond Mason,Male,British,Small Crowd,1963-01-01T00:00:00Z,Bronze,2002-01-01T00:00:00Z,Sculpture
Raymond Mason,Male,British,The Costa Brava,1966-01-01T00:00:00Z,Epoxy,2002-01-01T00:00:00Z,Sculpture
Raymond Parker,Male,American,Untitled,1959-01-01T00:00:00Z,Oil,1973-01-01T00:00:00Z,Painting
Raymond Saunders,Male,American,Something about Something,1963-01-01T00:00:00Z,Oil,1994-01-01T00:00:00Z,Painting
Red Grooms,Male,American,Deco Tango,1962-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
